,Name,Fpoints,rank
0,"Wainwright, Adam",107.64263448715211,320.0
1,"Adam, Jason",129.95856800079346,239.0
2,"Greinke, Zack",162.76206436157227,167.0
3,"Verlander, Justin",452.37197370529174,8.0
4,"Jansen, Kenley",150.62149181365967,193.0
5,"Chavez, Jesse",86.07832545042038,367.0
6,"Hill, Rich",136.92647323608398,220.0
7,"Morton, Charlie",259.4618749022484,78.0
8,"Bard, Daniel",70.44151586294174,402.0
9,"Scherzer, Max",171.27229871749878,148.0
10,"Martin, Chris",123.9126763343811,255.0
11,"Cueto, Johnny",86.91195578575135,365.0
12,"Lynn, Lance",397.4619873046875,16.0
13,"Carrasco, Carlos",159.23123850822446,174.0
14,"García, Luis",95.62357692718506,351.0
15,"García, Luis",7.968631410598755,510.0
16,"Garcia, Luis",140.0110942840576,211.0
17,"Garcia, Luis",11.667591190338136,507.0
18,"Kershaw, Clayton",160.2646921634674,169.0
19,"Hunter, Tommy",166.02110183238983,158.0
20,"Henry, Tommy",134.6053956747055,227.0
21,"Miley, Wade",232.99675261974335,91.0
22,"Yates, Kirby",211.2065174102783,109.0
23,"Ottavino, Adam",156.00146622657775,182.0
24,"Quintana, Jose",216.72879967689514,105.0
25,"Gibson, Kyle",195.46519317626954,122.0
26,"Robertson, David",154.68012371063233,185.0
27,"Cobb, Alex",131.29916965961456,236.0
28,"Anderson, Chase",46.692246437072754,447.0
29,"Darvish, Yu",453.55355834960943,7.0
30,"Alexander, Scott",81.72333446741105,378.0
31,"Brasier, Ryan",128.82736158370972,241.0
32,"Cruz, Fernando",162.05413961410522,168.0
33,"Diekman, Jake",120.74722867012024,267.0
34,"Kelly, Merrill",444.27281975746155,9.0
35,"Kimbrel, Craig",194.13485527038574,125.0
36,"Moore, Matt",34.97292736172676,472.0
37,"Pressly, Ryan",194.48277854919434,124.0
38,"Sale, Chris",338.2545412063599,37.0
39,"Smith, Will",166.72580375671387,157.0
40,"Kelly, Joe",118.48461599349974,274.0
41,"Pérez, Martín",180.89435729980468,137.0
42,"Teheran, Julio",-11.844312477111817,514.0
43,"Ramírez, Erasmo",18.900893884897233,500.0
44,"Cisnero, José",116.77700214385986,284.0
45,"Anderson, Tyler",169.05298845767976,152.0
46,"Armstrong, Shawn",109.56644325256347,311.0
47,"Bleier, Richard",56.01976872682572,432.0
48,"Cole, Gerrit",304.36953034400943,49.0
49,"Coulombe, Danny",86.9883178949356,364.0
50,"DeSclafani, Anthony",55.3118800163269,434.0
51,"Eovaldi, Nathan",292.56582655906675,53.0
52,"Gray, Sonny",366.81170120239256,22.0
53,"Hand, Brad",114.92625398635865,290.0
54,"Hendricks, Kyle",363.19297485351564,26.0
55,"Jackson, Jay",108.03354406356812,317.0
56,"Kowar, Jackson",117.23730063438416,281.0
57,"Lyles, Jordan",58.54168330430984,425.0
58,"May, Trevor",24.357502269744874,490.0
59,"McGough, Scott",112.3965265750885,300.0
60,"McHugh, Collin",104.81827276945114,330.0
61,"Shaw, Bryan",42.90790776014328,456.0
62,"Tonkin, Michael",133.6847228050232,229.0
63,"Lorenzen, Michael",116.90417129993438,283.0
64,"Ryu, Hyun Jin",155.18282437324524,183.0
65,"Chapman, Aroldis",177.96354002952575,142.0
66,"Raley, Brooks",139.93194169998168,212.0
67,"Stripling, Ross",123.10992922782899,258.0
68,"García, Yimi",145.21708154678345,206.0
69,"Wheeler, Zack",347.6271806716919,32.0
70,"Ureña, José",51.17014579772949,440.0
71,"Cessa, Luis",33.685672962665556,474.0
72,"Bellatti, Andrew",39.677138924598694,462.0
73,"Boyd, Matthew",16.418691873550415,502.0
74,"Carasiti, Matt",45.77472581863403,450.0
75,"Corbin, Patrick",225.27941012382507,99.0
76,"Farmer, Buck",123.64654011726378,256.0
77,"Floro, Dylan",67.78046575784684,407.0
78,"Heaney, Andrew",234.36765993833544,89.0
79,"Koch, Matt",76.72938766479491,387.0
80,"Law, Derek",62.32624912261963,421.0
81,"Loup, Aaron",67.85093413591386,406.0
82,"Matz, Steven",30.31335985660553,478.0
83,"Mikolas, Miles",303.97162573337556,50.0
84,"Miller, Shelby",39.34181098937989,464.0
85,"Milner, Hoby",147.95256280899048,199.0
86,"Paxton, James",225.36457676887514,98.0
87,"VerHagen, Drew",58.399224603176116,426.0
88,"Rom, Drew",122.33931834697724,263.0
89,"Johnson, Pierce",126.91168017387389,247.0
90,"Keuchel, Dallas",83.15331490039826,373.0
91,"Mantiply, Joe",168.96613450050353,153.0
92,"Rogers, Taylor",164.45068397521973,161.0
93,"Stroman, Marcus",287.5325463175774,60.0
94,"Thielbar, Caleb",116.49399633407593,286.0
95,"Kikuchi, Yusei",211.0626744031906,110.0
96,"Covey, Dylan",9.464410170912743,508.0
97,"Gausman, Kevin",429.44164924621583,10.0
98,"Gray, Jon",107.44659733772279,321.0
99,"Jackson, Luke",27.139748024940488,486.0
100,"Kahnle, Tommy",112.60792779922485,299.0
101,"Smyly, Drew",179.91591858863828,140.0
102,"Stanek, Ryne",116.94187955856323,282.0
103,"Stewart, Brock",109.03155055046082,315.0
104,"Syndergaard, Noah",126.21208262443542,253.0
105,"Taillon, Jameson",269.04108488559723,75.0
106,"Velasquez, Vince",36.18723410367966,471.0
107,"Walker, Taijuan",280.7214320898056,64.0
108,"Williams, Trevor",85.93585968017578,368.0
109,"Germán, Domingo",167.0454484462738,156.0
110,"Neris, Héctor",98.24101982116699,344.0
111,"Rodriguez, Eduardo",306.1961695790291,47.0
112,"Peralta, Wandy",110.42106699943542,309.0
113,"Mayers, Mike",43.374160909652716,454.0
114,"Moll, Sam",118.02106876373291,275.0
115,"deGrom, Jacob",57.28326201438903,429.0
116,"Gonzales, Marco",279.3539078235626,65.0
117,"Lively, Ben",48.659273743629456,444.0
118,"Neal, Zach",46.027285766601565,449.0
119,"Okert, Steven",149.6424452781677,195.0
120,"Junis, Jakob",62.757996082305915,419.0
121,"Stephenson, Robert",82.5082238316536,377.0
122,"Weaver, Luke",43.373648500442506,455.0
123,"Lawrence, Casey",2.1262104630470273,513.0
124,"Gomber, Austin",237.63752564191816,88.0
125,"Ramirez, Nick",88.8880392551422,362.0
126,"Leclerc, José",153.06016387939454,189.0
127,"Machado, Andres",39.37812798023224,463.0
128,"Pivetta, Nick",174.83058813810348,145.0
129,"Barlow, Scott",156.74520750045775,176.0
130,"Bassitt, Chris",422.4746120452881,12.0
131,"Brebbia, John",101.29438419342041,338.0
132,"Chafin, Andrew",115.12355313301086,289.0
133,"Clevinger, Mike",198.57554397583007,117.0
134,"Davies, Zach",130.86777658462526,237.0
135,"Edwards Jr., Carl",110.52700867652894,307.0
136,"Fulmer, Michael",30.119217395782474,479.0
137,"Holmes, Clay",87.24215612411498,363.0
138,"Houser, Adrian",132.48341941833496,233.0
139,"López, Jorge",39.139787220954894,465.0
140,"Musgrove, Joe",364.46434173583987,25.0
141,"Nola, Aaron",475.5236125946045,3.0
142,"Romano, Jordan",158.11264486312868,175.0
143,"Snell, Blake",349.0318413734436,31.0
144,"Suárez, Andrew",12.003288626670837,506.0
145,"Turnbull, Spencer",81.63092416524887,379.0
146,"Woodruff, Brandon",19.144164276123046,498.0
147,"Gallegos, Giovanny",149.38788542747497,196.0
148,"Montero, Rafael",167.53062057495117,155.0
149,"Payamps, Joel",104.44659147262573,332.0
150,"Devenski, Chris",109.44002323150634,312.0
151,"Rea, Colin",175.9420927762985,144.0
152,"Rodón, Carlos",228.2513346076012,94.0
153,"Weems, Jordan",156.312287735939,178.0
154,"Glasnow, Tyler",365.98981356620783,23.0
155,"Garrett, Amir",51.46116304397583,437.0
156,"Martinez, Nick",224.64519155025482,100.0
157,"Bummer, Aaron",159.39765129089355,172.0
158,"Freeland, Kyle",193.18396604061127,127.0
159,"Lugo, Seth",274.948006272316,71.0
160,"Vasquez, Andrew",42.326585149765016,458.0
161,"Estévez, Carlos",51.32219066619873,438.0
162,"Fried, Max",394.14464149475094,18.0
163,"Irvin, Cole",178.8597975254059,141.0
164,"Sims, Lucas",164.79450950622558,160.0
165,"Wacha, Michael",139.48185175657272,214.0
166,"Chargois, JT",127.98268780708312,243.0
167,"Graveman, Kendall",12.056267881393433,505.0
168,"Leone, Dominic",66.02519048452378,409.0
169,"Stratton, Chris",149.74610848426818,194.0
170,"Suter, Brent",113.64336931705475,296.0
171,"Voth, Austin",64.98396098613739,412.0
172,"Castro, Miguel",112.74065710306166,298.0
173,"Ruiz, José",48.83128123283387,443.0
174,"Quantrill, Cal",326.8020749092102,39.0
175,"Cuas, Jose",96.43803666830063,350.0
176,"Wilson, Steven",117.74860453605652,279.0
177,"Rucker, Michael",38.49279075860977,466.0
178,"Kaprielian, James",23.83493523597717,491.0
179,"Eflin, Zach",335.5736083984375,38.0
180,"Blackburn, Paul",79.08547401428223,383.0
181,"Alvarado, José",106.6703109741211,325.0
182,"Berríos, José",349.26637611389157,30.0
183,"Underwood Jr., Duane",37.408539056777954,467.0
184,"Minter, A.J.",28.59927589893341,482.0
185,"Poche, Colin",146.77583327293397,203.0
186,"Borucki, Ryan",171.18882064819334,149.0
187,"Strahm, Matt",121.51790193319322,265.0
188,"Banks, Tanner",91.04601377248764,356.0
189,"Blach, Ty",-48.384843635559086,516.0
190,"Young, Alex",56.274777793884276,430.0
191,"Wood, Alex",131.9857850074768,234.0
