,Name,Fpoints,rank
404,"Bieber, Shane",560.7804234266282,1.0
394,"Burnes, Corbin",501.8530145645141,2.0
141,"Nola, Aaron",463.68748855590826,3.0
383,"Gallen, Zac",450.78472194671633,4.0
3,"Verlander, Justin",450.55616798400877,5.0
29,"Darvish, Yu",440.0116035461426,6.0
195,"Castillo, Luis",431.6753019332886,7.0
34,"Kelly, Merrill",428.76995990276333,8.0
440,"Strider, Spencer",417.4861300468445,9.0
97,"Gausman, Kevin",412.18922381401063,10.0
348,"Valdez, Framber",405.1201760053635,11.0
130,"Bassitt, Chris",401.91249790191654,12.0
252,"Peralta, Freddy",397.61302652359007,13.0
413,"Kirby, George",388.25992240905765,14.0
211,"Maeda, Kenta",386.94475293159485,15.0
226,"Cortes Jr., Nestor",378.42372508049016,16.0
12,"Lynn, Lance",377.0464569091797,17.0
162,"Fried, Max",373.58955678939816,18.0
398,"Gilbert, Logan",372.3313962936402,19.0
361,"Ragans, Cole",360.512638092041,20.0
54,"Hendricks, Kyle",358.601953125,21.0
448,"Bibee, Tanner",348.70786132812503,22.0
140,"Musgrove, Joe",347.7571556091309,23.0
350,"Javier, Cristian",345.7243060112,24.0
52,"Gray, Sonny",345.0188480615616,25.0
154,"Glasnow, Tyler",343.07040464878077,26.0
494,"Pepiot, Ryan",342.7867334365845,27.0
306,"Ryan, Joe",342.4573874473572,28.0
221,"López, Pablo",338.6015487670898,29.0
69,"Wheeler, Zack",337.49026508331303,30.0
182,"Berríos, José",334.1589905261993,31.0
179,"Eflin, Zach",327.9088928222656,32.0
293,"Steele, Justin",323.2759424209595,33.0
143,"Snell, Blake",322.1344264984131,34.0
446,"Miller, Bobby",320.09472808837893,35.0
174,"Quantrill, Cal",319.12377774715424,36.0
38,"Sale, Chris",317.4238748073578,37.0
465,"Rodriguez, Grayson",312.0195465803146,38.0
264,"Sánchez, Cristopher",310.22237062454224,39.0
483,"Miller, Bryce",309.1847571372986,40.0
111,"Rodriguez, Eduardo",303.38141283988955,41.0
83,"Mikolas, Miles",302.86482458114625,42.0
242,"Ober, Bailey",302.7954089641571,43.0
386,"Williams, Gavin",299.84848380088806,44.0
197,"Severino, Luis",299.81720757484436,45.0
492,"Brown, Hunter",297.5188980102539,46.0
423,"Abbott, Andrew",296.2218155860901,47.0
509,"Pfaadt, Brandon",295.14121079444885,48.0
93,"Stroman, Marcus",292.5718980073929,49.0
475,"Olson, Reese",291.3772294044495,50.0
51,"Eovaldi, Nathan",290.87187509536744,51.0
48,"Cole, Gerrit",290.3148212194443,52.0
107,"Walker, Taijuan",285.71904730796814,53.0
238,"Littell, Zack",285.15573341846465,54.0
505,"Pérez, Eury",284.73208355903625,55.0
428,"Detmers, Reid",282.5220023870468,56.0
283,"Keller, Mitch",281.50686264038086,57.0
281,"Houck, Tanner",280.8777153491974,58.0
504,"Harrison, Kyle",279.4271852016449,59.0
116,"Gonzales, Marco",278.86055624485016,60.0
360,"Garrett, Braxton",277.36666245460515,61.0
331,"Irvin, Jake",277.21498215198517,62.0
506,"Woo, Bryan",276.79511704444883,63.0
385,"Greene, Hunter",275.028968334198,64.0
228,"France, J.P.",273.32024130821225,65.0
424,"Allen, Logan",271.7268268346786,66.0
355,"Kremer, Dean",271.3861272573471,67.0
449,"Whitlock, Garrett",269.7452726364136,68.0
400,"Skubal, Tarik",266.91304993629456,69.0
