"last_name, first_name","player_id","year","xwoba","xwobacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","iz_contact_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","f_strike_percent","flyballs_percent","linedrives_percent","sprint_speed"
"Cabrera, Miguel","408234","2023",".301",".337",".317","89.1","7.4",4.2,37.6,"98.972070682","93.630273802",68.3,18.2,28.2,43.8,81.8,41.7,25.6,48.3,35.7,38.8,25.5,63.8,18.3,27.4,"23.1"
"Cruz Jr., Nelson","443558","2023",".297",".407",".354","92.4","10.2",9.2,48,"103.031683673","96.058311429",66.1,21.5,39.4,59.1,78.5,41.7,36.1,52.3,39.8,37.8,22.4,65.1,22.4,25.5,"24.7"
"Peralta, David","444482","2023",".309",".352",".334","89.3","8.2",4.9,44.2,"100.838135399","94.678134417",74.3,15.3,34.1,38.8,84.7,44.5,22.5,54.5,38.4,35.7,25.9,61.3,21.6,25.3,"27.0"
"Longoria, Evan","446334","2023",".324",".431",".347","92.2","15.6",10.6,51.8,"102.131802113","95.858329716",58,20.9,29.2,43.4,79.1,42.8,29,42.8,46.8,33.3,19.9,62.9,33.3,24.1,"26.2"
"Blackmon, Charlie","453568","2023",".339",".340",".317","86.4","18.1",4.9,31.5,"97.605451688","92.81067263",65.8,13.3,28.5,34.4,86.7,44.2,19.6,47.3,45.5,32.8,21.8,61,25.6,27.9,"27.6"
"Maldonado, Martín","455117","2023",".267",".370",".304","88.4","18.1",8.5,40,"99.511383636","93.988423653",65.5,23.7,32.8,56.1,75.2,41.3,34.1,49.6,46,30.6,23.4,62.7,31.5,20.9,"23.2"
"Solano, Donovan","456781","2023",".351",".406",".379","90.2","13.1",6.1,43.7,"100.102935676","94.475306983",64.9,16.2,29.9,45,83.8,41.8,25.4,47.4,34.2,43.4,22.4,67.1,23.1,31.9,"25.4"
"McCutchen, Andrew","457705","2023",".353",".382",".345","89.6","12.3",6.8,44.6,"100.329192449","94.60717314",64.4,19.9,18.6,53.8,80.1,44.7,27.4,41.6,48.3,30.6,21.1,60.2,27.2,25.2,"28.4"
"Turner, Justin","457759","2023",".336",".367",".320","89.5","16.5",5.7,39,"98.567368238","93.587032225",63.5,12.2,25.7,31.1,87.8,41.6,17.5,45,37.9,34.8,27.3,60.7,33,25.1,"25.2"
"Votto, Joey","458015","2023",".298",".331",".269","89.3","13.9",11,39.7,"99.750614932","94.225792534",69.8,24.5,25.2,48.7,75.5,40.2,30.8,47.8,45.2,35.6,19.2,59.9,32.9,13,"25.6"
