#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
1,Mookie Betts,LAD,R,2B/OF,2B/SS/ OF,150,673,571,115.4,32.4,90.5,14.3,160.8,85.9,40.9,1.6,302.0,106.3,80.2,9.0,4.2,6.4,3.8,0.281,0.371,0.529,0.900,0.294,13611
2,Marcus Semien,TEX,R,2B,2B,150,663,590,100.3,26.7,79.7,15.4,157.3,96.9,30.5,3.2,274.2,108.2,58.6,4.8,4.2,6.2,4.4,0.267,0.333,0.465,0.798,0.284,12533
3,Kyle Schwarber,PHI,L,OF,OF,150,654,539,103.9,39.2,86.9,5.5,121.0,62.3,17.9,1.5,259.6,189.1,100.6,6.5,4.2,5.7,1.9,0.224,0.349,0.482,0.830,0.259,16478
4,Gunnar Henderson,BAL,L,SS/3B,SS/3B,152,654,574,96.2,27.8,84.6,10.9,150.1,84.2,32.2,5.9,277.5,156.6,66.3,5.2,4.9,2.0,4.3,0.261,0.339,0.484,0.823,0.310,683002
5,Luis Arraez,MIA,L,2B,1B/2B,151,653,588,88.9,9.2,61.8,5.5,186.0,145.5,28.0,3.3,248.3,46.0,49.9,4.6,4.2,5.5,2.3,0.316,0.368,0.422,0.790,0.329,650333
6,Trea Turner,PHI,R,SS,SS,150,648,591,88.4,21.2,78.5,24.0,164.6,106.2,33.6,3.7,269.2,128.7,44.7,5.1,4.6,4.0,5.2,0.279,0.331,0.455,0.786,0.322,16252
7,Alex Bregman,HOU,R,3B,3B,150,648,552,94.9,23.6,84.6,3.0,146.9,90.0,31.0,2.3,253.4,82.4,81.5,8.6,4.8,1.5,1.2,0.266,0.366,0.460,0.826,0.274,17678
8,Freddie Freeman,LAD,L,1B,1B,150,648,557,97.5,25.3,95.5,12.9,168.3,100.2,41.2,1.5,288.5,107.3,73.5,9.3,4.8,2.2,4.2,0.302,0.387,0.518,0.906,0.333,5361
9,Ketel Marte,ARI,S,2B,2B,150,647,568,89.9,20.4,76.8,6.9,156.5,100.5,29.6,6.0,259.2,111.3,64.8,5.9,4.6,4.0,2.5,0.276,0.351,0.457,0.808,0.309,13613
10,Juan Soto,NYY,L,OF,OF,151,647,508,109.3,37.4,103.2,11.2,144.9,77.6,28.5,1.4,288.4,104.7,124.1,3.9,4.7,3.2,4.3,0.285,0.422,0.567,0.989,0.290,665742
11,Julio Rodriguez,SEA,R,OF,OF,151,647,579,98.2,31.9,89.5,30.1,163.1,89.8,38.8,2.5,302.6,147.2,49.7,9.2,4.5,4.2,10.2,0.282,0.343,0.522,0.866,0.324,677594
12,Paul Goldschmidt,STL,R,1B,1B,150,647,554,92.6,26.3,82.8,7.8,149.1,92.0,30.1,0.6,259.4,147.3,78.9,5.1,4.7,3.5,2.6,0.269,0.360,0.468,0.828,0.319,9218
13,Nico Hoerner,CHC,R,2B/SS,2B/SS,148,645,579,84.9,11.2,59.5,30.8,163.5,120.9,27.4,4.0,232.6,77.9,46.4,10.3,4.3,5.3,8.8,0.283,0.342,0.402,0.744,0.308,663538
14,Austin Riley,ATL,R,3B,3B,151,645,574,96.0,34.8,109.9,2.4,158.9,92.1,29.9,2.1,297.5,155.3,56.1,10.3,4.9,0.9,1.1,0.277,0.349,0.519,0.868,0.319,663586
15,Rafael Devers,BOS,L,3B,3B,150,644,567,100.0,34.7,98.8,4.7,162.2,92.4,34.2,1.0,302.4,123.7,60.2,7.7,4.6,3.5,2.2,0.286,0.358,0.533,0.891,0.309,646240
16,Bobby Witt Jr.,KC,R,SS,SS,151,644,588,95.3,29.3,88.5,40.3,164.3,99.3,28.6,7.1,295.2,111.6,40.5,5.8,4.6,4.0,13.5,0.279,0.327,0.502,0.828,0.299,677951
17,Brandon Nimmo,NYM,L,OF,OF,147,643,551,97.5,18.9,67.5,5.7,148.7,93.2,31.8,4.8,246.8,130.6,73.8,11.1,4.0,6.1,2.1,0.269,0.363,0.448,0.811,0.320,12927
18,Ronald Acuna Jr.,ATL,R,OF,OF,142,643,550,122.6,35.4,97.2,46.4,175.8,106.5,31.3,2.6,318.6,99.1,74.4,9.7,4.0,6.1,12.0,0.320,0.405,0.580,0.984,0.335,660670
19,CJ Abrams,WSH,L,SS,SS,152,642,586,81.8,17.5,66.6,36.6,153.1,97.2,33.5,4.8,248.9,115.1,33.1,11.7,4.3,5.7,10.4,0.261,0.308,0.424,0.732,0.296,682928
20,Corbin Carroll,ARI,L,OF,OF,147,642,561,95.6,24.1,77.3,39.0,153.1,96.0,25.1,7.9,266.3,130.5,61.0,11.1,4.3,4.8,10.7,0.273,0.351,0.475,0.826,0.314,682998
21,Jose Ramirez,CLE,S,3B,3B,150,641,560,93.4,27.1,87.4,22.8,158.3,88.3,39.1,3.8,286.3,79.3,70.6,5.4,4.9,1.1,6.4,0.283,0.366,0.511,0.877,0.286,13510
22,Christian Yelich,MIL,L,OF,OF,150,640,547,84.4,19.5,72.0,20.6,144.1,93.7,28.8,2.0,235.5,146.2,83.7,5.1,4.6,2.8,5.2,0.264,0.364,0.431,0.795,0.323,11477
23,Matt Olson,ATL,L,1B,1B,150,640,543,104.5,39.8,110.4,1.2,146.7,77.1,28.2,1.6,297.7,144.4,86.0,5.8,4.4,1.5,0.5,0.270,0.373,0.548,0.921,0.294,14344
24,Kyle Tucker,HOU,L,OF,OF,151,639,559,96.7,32.7,103.4,25.4,160.4,97.0,27.2,3.5,292.8,95.8,70.6,3.2,4.6,1.2,6.5,0.287,0.367,0.524,0.891,0.293,663656
25,Bryan Reynolds,PIT,S,OF,OF,148,639,563,88.7,23.7,77.8,8.8,151.4,93.7,30.0,4.0,260.6,137.8,60.0,9.0,4.6,4.1,3.4,0.269,0.345,0.463,0.808,0.314,668804
26,Bo Bichette,TOR,R,SS,SS,148,637,588,89.4,23.8,84.2,11.2,171.4,106.8,38.5,2.2,285.8,123.3,36.2,4.0,4.6,3.9,3.9,0.292,0.332,0.486,0.818,0.331,666182
27,Vladimir Guerrero Jr.,TOR,R,1B,1B,151,636,556,91.3,30.3,96.3,6.3,156.3,91.3,34.2,0.6,282.4,94.9,66.9,6.9,4.8,1.1,2.7,0.281,0.362,0.508,0.870,0.289,665489
28,Shohei Ohtani,LAD,L,DH,DH,145,635,533,105.5,37.5,100.4,18.7,145.9,74.0,29.2,5.2,297.9,157.7,87.3,5.1,4.6,3.5,6.8,0.274,0.375,0.559,0.935,0.317,6602710
29,Randy Arozarena,TB,R,OF,OF,151,634,554,83.4,22.8,81.2,23.3,142.9,87.7,29.5,2.9,246.6,159.5,64.0,11.9,4.7,1.1,9.3,0.258,0.345,0.445,0.791,0.319,668227
30,Ha-Seong Kim,SD,R,2B/SS/ 3B,2B/SS/ 3B,151,632,555,78.4,16.5,63.6,25.5,137.2,91.8,27.7,1.3,216.9,123.0,64.7,5.6,4.8,3.2,7.8,0.247,0.329,0.391,0.719,0.287,673490
31,Francisco Lindor,NYM,S,SS,SS,150,630,558,83.8,25.4,84.2,19.8,142.6,85.8,29.2,2.3,252.5,123.0,59.9,8.9,4.7,1.4,6.3,0.255,0.335,0.452,0.788,0.283,12916
32,Spencer Torkelson,DET,R,1B,1B,151,628,547,81.3,29.0,85.0,2.6,132.0,76.6,25.0,1.4,246.6,145.9,68.6,6.7,4.7,1.4,1.2,0.242,0.330,0.451,0.782,0.274,679529
33,Xander Bogaerts,SD,R,SS,SS,150,627,556,78.6,18.8,77.1,11.5,153.5,102.6,30.7,1.5,243.5,113.8,57.1,6.7,4.3,3.9,3.5,0.276,0.347,0.438,0.784,0.315,12161
34,J.P. Crawford,SEA,L,SS,SS,150,627,534,84.7,12.8,59.2,3.9,137.9,86.8,37.3,0.9,215.6,108.5,76.3,6.9,4.1,5.4,1.5,0.258,0.352,0.404,0.756,0.300,15491
35,Ian Happ,CHC,S,OF,OF,151,627,539,77.4,20.2,75.5,10.3,135.0,85.4,26.8,2.5,227.6,149.2,75.9,6.4,4.7,1.0,4.0,0.251,0.347,0.422,0.769,0.307,664023
36,Fernando Tatis Jr.,SD,R,OF,OF,145,627,555,97.5,33.7,87.5,24.9,154.1,86.4,32.7,1.4,290.8,134.4,59.7,4.5,4.4,4.2,7.4,0.278,0.348,0.524,0.872,0.307,665487
37,Ozzie Albies,ATL,S,2B,2B,145,623,565,93.1,27.0,90.8,12.1,158.0,94.5,32.8,3.7,279.2,103.5,44.1,5.7,4.5,3.7,4.0,0.279,0.334,0.494,0.828,0.298,16556
38,Jose Altuve,HOU,R,2B,2B,140,623,544,98.2,23.9,74.8,14.8,148.5,92.6,30.4,1.6,253.7,101.0,62.4,6.6,3.9,5.9,4.8,0.273,0.350,0.466,0.816,0.295,5417
39,Steven Kwan,CLE,L,OF,OF,147,623,547,83.2,8.5,55.5,17.6,153.3,106.1,33.6,5.0,222.5,66.9,62.0,5.0,3.9,5.8,5.2,0.280,0.353,0.407,0.760,0.305,680757
40,Lane Thomas,WSH,R,OF,OF,151,621,559,77.1,21.8,71.2,14.3,138.6,83.0,31.2,2.5,240.3,156.4,45.7,7.0,4.3,4.3,5.6,0.248,0.308,0.429,0.737,0.303,657041
41,Adolis Garcia,TEX,R,OF,OF,148,621,562,79.5,30.4,93.3,12.7,136.2,77.7,26.5,1.6,257.0,178.1,48.9,6.5,4.3,1.0,4.5,0.243,0.308,0.458,0.766,0.296,666969
42,Christian Walker,ARI,R,1B,1B,150,619,546,78.3,27.1,90.7,5.3,138.9,83.3,26.7,1.9,250.6,128.1,60.5,7.0,4.2,0.9,2.2,0.254,0.334,0.459,0.793,0.283,13419
43,Pete Alonso,NYM,R,1B,1B,150,619,541,88.2,38.9,104.2,3.7,134.7,71.5,22.8,1.5,277.1,135.3,63.4,12.4,4.2,0.9,1.6,0.249,0.340,0.512,0.853,0.258,624413
44,Andres Gimenez,CLE,L,2B,2B,150,619,557,75.1,18.3,72.5,25.5,147.9,92.8,33.2,3.7,243.3,115.3,37.1,17.5,4.5,3.3,7.6,0.266,0.327,0.437,0.764,0.303,665926
45,Manny Machado,SD,R,3B,3B,148,615,551,81.7,29.7,92.3,5.6,148.5,90.1,27.8,0.9,267.1,118.4,56.3,3.2,4.3,1.1,2.2,0.269,0.338,0.485,0.823,0.292,11493
46,Gleyber Torres,NYY,R,2B,2B,148,612,542,81.5,23.9,83.0,13.2,146.5,95.1,25.9,1.7,247.5,106.5,57.4,3.8,4.7,2.1,5.1,0.270,0.339,0.456,0.796,0.294,16997
47,Alec Bohm,PHI,R,1B/3B,1B/3B,150,612,557,74.0,18.8,79.0,4.6,154.6,104.3,30.3,1.2,243.5,108.1,43.5,5.4,4.3,2.4,2.0,0.277,0.333,0.437,0.770,0.312,664761
48,Willy Adames,MIL,R,SS,SS,148,610,538,74.5,25.0,78.7,6.8,128.8,73.9,28.4,1.5,235.3,156.1,63.1,3.8,4.8,2.1,3.1,0.239,0.320,0.437,0.757,0.287,642715
49,Aaron Judge,NYY,R,OF,OF,141,609,503,103.2,42.5,100.6,7.4,136.3,73.0,20.2,0.6,285.1,163.0,92.3,4.4,4.5,2.2,2.7,0.271,0.383,0.567,0.950,0.311,15640
50,Nolan Jones,COL,L,OF,1B/OF,147,608,524,80.6,23.0,79.2,15.7,138.9,88.1,24.1,3.7,239.4,175.1,69.7,5.5,4.6,1.3,5.9,0.265,0.352,0.457,0.810,0.351,666134
