"last_name, first_name","player_id","year","xwoba","xobp","xwobacon","xbacon","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","iz_contact_percent","edge_percent","whiff_percent","swing_percent","f_strike_percent","groundballs_percent","flyballs_percent","linedrives_percent"
"Wainwright, Adam","425794","2023",".401",".383",".427",".370","89","12.9",40.6,11.1,38.8,"78.20171099","93.997660521",62.3,8.6,21.7,25,91.1,42.9,13,41.3,54.5,41.1,28.4,26.9
"Greinke, Zack","425844","2023",".344",".322",".394",".349","89.6","11.9",32.6,7.7,38.8,"79.099913176","94.182767312",66.4,10.5,27.9,32.9,88.8,42.4,17.3,46.8,66.4,43.7,25.8,25.2
"Verlander, Justin","434378","2023",".295",".287",".342",".299","90","18.9",30.5,8.2,41.3,"79.990406017","94.269512972",68,16.5,30.6,36.1,83.4,44.8,22.5,49.6,57.4,36.2,28.2,23.4
"Jansen, Kenley","445276","2023",".276",".284",".333",".294","89.8","28.6",29.9,6.8,35.9,"80.87029931","93.556746609",70.2,23.6,31.3,42.9,76,42.2,29,52.1,65.8,21.4,37.6,23.1
"Chavez, Jesse","445926","2023",".293",".312",".352",".333","87.1","7.2",33.3,3.3,33.3,"76.766142889","92.870256742",60.2,24.8,26.6,34.5,73.9,45.6,28.3,41.3,65.3,52.2,12.2,27.8
"Kluber, Corey","446372","2023",".377",".344",".417",".334","89","19.4",40,12.1,40.5,"77.692312","94.303880688",69.3,13.7,30.2,35.9,86,42.8,20.9,48.9,66.1,30.5,34.2,24.7
"Hill, Rich","448179","2023",".360",".352",".412",".359","89.4","14.3",37.3,10.1,39.9,"78.850617598","94.135267838",63.7,13.7,25,35,85.5,43.5,19.3,45.4,59.7,39,25.6,27.6
"Morton, Charlie","450203","2023",".330",".348",".390",".351","88.9","9.9",36.8,7.8,39.1,"77.30793493","94.400073953",60.7,18.5,28.2,56.5,80.6,41.2,32.2,42.9,59.8,44.2,25.2,26.1
"Bard, Daniel","453268","2023",".372",".417",".369",".310","87.1","16.9",30.5,10.2,31.3,"75.785919063","93.296090859",63.2,16.6,17.6,39.3,82.7,39,21.7,40,53.9,36.7,31.3,21.9
"Scherzer, Max","453286","2023",".281",".269",".353",".297","88.5","20.2",32.2,8.5,36.9,"77.751416869","93.790833646",70.9,20.9,30.3,47.1,78.6,43.9,28.6,51,69.9,33.7,32.7,22.9
"Martin, Chris","455119","2023",".277",".297",".351",".352","84.5","4.1",35.9,2.1,31,"72.033701806","92.712566434",73.2,21.1,38.3,28.8,78.9,47,23.3,58.3,77.6,50.3,15.2,30.3
"Cueto, Johnny","456501","2023",".345",".316",".390",".315","88.2","16.9",37.3,10.6,36.6,"77.124512875","93.840066352",73.1,15.9,33.5,26,83.7,46.7,19.3,52.4,65.6,34.2,34.8,23.6
"Lynn, Lance","458681","2023",".337",".322",".406",".341","88.7","17",35.2,10.4,39.3,"77.065476868","94.313936189",74.1,22,28.3,44.7,77.5,42.3,28.7,50.1,64.2,36.3,30.6,24.1
"Carrasco, Carlos","471911","2023",".388",".380",".427",".372","91.5","8.7",37.5,10.7,48.2,"80.853173312","95.654389642",69.4,14,28.1,46.7,85.4,42.4,24.7,46.9,59,45.6,21.5,28.3
"García, Luis","472610","2023",".311",".339",".340",".329","87.1","-1.1",27.2,4.9,36.4,"75.00247956","93.714576685",68.8,15.2,28.5,47.4,84.5,38.4,25.4,47.5,55.6,60.9,15.8,21.7
"Kershaw, Clayton","477132","2023",".300",".295",".369",".324","89","11.8",34.7,9,39.1,"77.970437953","94.209900469",69.3,17.8,30.7,49.8,81.9,41.3,28,49.6,68.3,47.8,23.3,21.9
"Hunter, Tommy","488984","2023",".345",".301",".401",".315","88.6","6.4",34.2,12.7,43,"76.68430825","94.453676203",70.9,16.4,30.9,21.8,83.6,46,18,51.5,67.9,46.8,34.2,16.5
"Miley, Wade","489119","2023",".320",".316",".347",".308","87.3","10.8",30,7.6,31.3,"76.41179978","93.147683664",64.7,13.8,26.7,30.1,85.3,46.6,18.8,45.1,60.6,47.4,26.2,18.5
"Yates, Kirby","489446","2023",".326",".338",".408",".333","90.6","16.8",34.8,10.6,40.2,"81.563198154","94.286388295",67.7,20.9,27.9,49.7,78.8,41.4,30.8,45.5,57.5,37.9,31.1,22
